orth	charde	charad	cat	lem	pag	linea
Περὶ	543	547	n	Περί	14.777	12
τῶν	548	551	l	ὁ	14.777	12
ἐκτὸς	552	557	d	ἐκτός	14.777	12
τῆς	558	561	l	ὁ	14.777	12
κεφαλῆς	562	569	n	κεφαλή	14.777	12
παθῶν	570	575	n	πάθος	14.777	12
.	575	576	u	.	14.777	12
Περὶ	652	656	n	Περί	14.777	13
δὲ	657	659	d	δέ	14.777	13
τὰ	660	662	l	ὁ	14.777	13
ἐκτὸς	663	668	d	ἐκτός	14.777	13
τῆς	669	672	l	ὁ	14.777	13
κεφαλῆς	673	680	n	κεφαλή	14.777	13
συνίστανται	681	692	v	συνίστημι	14.777	13
τάδε	693	697	p	ὅδε	14.777	13
ἃ	699	700	p	ὅς	14.777	13
οὐκ	775	778	d	οὐ	14.777	14
ἀναγέγραπται	779	791	v	ἀναγράφω	14.777	14
ἐν	792	794	r	ἐν	14.777	14
τοῖς	795	799	l	ὁ	14.777	14
χρονίοις	800	808	a	χρόνιος	14.777	14
περὶ	810	814	r	περί	14.777	14
τῶν	815	818	l	ὁ	14.777	14
ἐν	819	821	r	ἐν	14.777	14
τῇ	822	824	l	ὁ	14.777	14
κεφαλῇ	825	831	n	κεφαλή	14.777	14
καταγμάτων	906	916	n	κάταγμα	14.777	15
τοῦ	917	920	l	ὁ	14.777	15
κρανίου	921	928	a	κράνιον	14.777	15
.	928	929	u	.	14.777	15
διαφοραὶ	930	938	n	διαφορά	14.777	15
δὲ	939	941	d	δέ	14.777	15
αὐτῶν	942	947	a	αὐτός	14.777	15
εἰσι	948	952	n	εἰμί	14.777	15
πέντε	953	958	a	πέντε	14.777	15
ῥωγμὴ	1034	1039	n	ῥωγμή	14.777	16
ἐγγείσωμα	1041	1050	n	ἐγγείσωμα	14.777	16
ἐκπίεσμα	1052	1060	n	ἐκπίεσμος	14.777	16
ἀπήχημα	1062	1069	n	ἀπήχημα	14.777	16
καμάρωσις	1071	1080	n	καμάρωσις	14.777	16
διάτασις	1082	1090	n	διάτασις	14.777	16
ῥαφῶν	1165	1170	n	ῥάφος	14.777	17
ὑδροκέφαλον	1172	1183	n	ὑδροκέφαλος	14.777	17
ἀχῶρες	1185	1191	n	ἀχώρης	14.777	17
πιτυρίασις	1193	1203	n	πιτυρίασις	14.777	17
μελικηρὶς	1205	1214	n	μελικηρίς	14.777	17
