orth	charde	charad	cat	lem	pag	linea
ἡ	354	355	p	ὁ	18a.821	9
ἀρχὴ	356	360	n	ἀρχή	18a.821	9
ὑπὸ	361	364	r	ὑπό	18a.821	9
μασχάλην	365	373	n	μασχάλη	18a.821	9
.	373	374	u	.	18a.821	9
τὸ	375	377	l	ὁ	18a.821	9
εἴλημα	378	384	n	εἴλημα	18a.821	9
λοξῶς	385	390	n	λοξός	18a.821	9
κατὰ	467	471	r	κατά	18a.821	10
μεταφρένου	472	482	n	μετάφρενον	18a.821	10
ἐπὶ	483	486	r	ἐπί	18a.821	10
τράχηλον	487	495	n	τράχηλος	18a.821	10
καὶ	496	499	d	καί	18a.821	10
ἐπὶ	500	503	r	ἐπί	18a.821	10
στέρνον	504	511	n	στέρνον	18a.821	10
μασχάλην	513	521	n	μασχάλη	18a.821	10
καὶ	598	601	d	καί	18a.821	11
ἐπὶ	602	605	r	ἐπί	18a.821	11
ἀντικειμένην	606	618	v	ἀντίκειμα	18a.821	11
μασχάλην	619	627	n	μασχάλη	18a.821	11
καὶ	628	631	d	καί	18a.821	11
λοξὴ	632	636	n	λοξή	18a.821	11
ἐπὶ	637	640	r	ἐπί	18a.821	11
στέρνον	641	648	n	στέρνον	18a.821	11
καὶ	725	728	c	καί	18a.821	12
τράχηλον	729	737	n	τράχηλος	18a.821	12
ὡς	739	741	d	ὡς	18a.821	12
χίασμα	742	748	n	χίασμα	18a.821	12
κατ	749	752	r	κατά	18a.821	12
αὐτοῦ	754	759	d	αὐτός	18a.821	12
γενέσθαι	760	768	v	γίγνομαι	18a.821	12
καὶ	769	772	d	καί	18a.821	12
λοξὴ	773	777	n	λοξή	18a.821	12
κατὰ	854	858	r	κατά	18a.821	13
μεταφρένου	859	869	n	μετάφρενον	18a.821	13
ὑπὸ	870	873	r	ὑπό	18a.821	13
μασχάλην	874	882	n	μασχάλη	18a.821	13
ἐγκύκλιος	883	892	a	ἐγκύκλιος	18a.821	13
.	892	893	u	.	18a.821	13
αἱ	894	896	l	ὁ	18a.821	13
δ	897	898	n	δ	18a.821	13
ἐπινομαὶ	900	908	n	ἐπινομή	18a.821	13
κατὰ	985	989	r	κατά	18a.821	14
τῶν	990	993	l	ὁ	18a.821	14
αὐτῶν	994	999	p	αὐτός	18a.821	14
.	999	1000	u	.	18a.821	14
